aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity
1092,996,1,0.02127659574468085,0.9787234042553191,0,0.5454545454545454,0.45454545454545453,0,0.9993534947202068,0.0006465052797931183,0,0.0,1.0,1,0.0,1.0,1,0.6867830728161134
1155,985,0,0.421875,1.7297297297297298,0,0.8333333333333334,0.16666666666666666,0,,,0,0.0,1.0,1,0.5,0.5,0,0.4489583333333333
232,552,0,0.2222222222222222,0.7777777777777778,0,0.5,0.5,0,0.9995745887691435,0.0004254112308564946,0,0.0,1.0,1,1.0,0.0,0,0.4556406378017268
622,581,1,0.0,1.0,1,0.7,0.3,0,0.9994475477257382,0.0005524522742618624,0,0.0,1.0,1,0.0,1.0,1,0.6601104904548524
1194,265,1,0.022727272727272728,1.0232558139534884,0,0.7272727272727273,0.2727272727272727,0,0.9997317269468088,0.00026827305319122993,0,0.0,1.0,1,0.0,1.0,1,0.6500536546106382
1297,214,0,0.025,0.975,0,0.7692307692307693,0.23076923076923078,0,,,0,0.0,1.0,1,0.5,0.5,0,0.5411538461538461
911,448,0,0.9850746268656716,67.0,0,,,0,,,0,0.0,1.0,1,1.0,0.0,0,0.20298507462686569
83,246,1,0.08771929824561403,1.0961538461538463,0,0.0,1.0,1,,,0,0.0,1.0,1,0.5,0.5,0,0.6824561403508772
769,498,0,0.39655172413793105,1.6571428571428573,0,0.7692307692307693,0.23076923076923078,0,,,0,0.0,1.0,1,1.0,0.0,0,0.36684350132626
777,660,1,0.7843137254901961,4.636363636363637,0,0.16666666666666666,0.8333333333333334,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6098039215686274
1046,948,0,0.061224489795918366,1.065217391304348,0,0.7,0.3,0,0.999869755864604,0.00013024413539601453,0,0.0,1.0,1,1.0,0.0,0,0.4477811508678955
972,807,1,0.022727272727272728,1.0232558139534884,0,0.7,0.3,0,0.9997968388119134,0.00020316118808662794,0,0.0,1.0,1,0.0,1.0,1,0.6554951776921628
1252,108,1,0.07042253521126761,0.9295774647887324,0,0.7,0.3,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6459154929577464
976,739,0,0.6346153846153846,2.736842105263158,0,0.7,0.3,0,0.9999576414774652,4.235852253473399e-05,0,0.5,2.0,0,0.0,1.0,1,0.43308539478143004
670,777,0,0.044444444444444446,0.9555555555555556,0,0.5454545454545454,0.45454545454545453,0,,,0,0.0,1.0,1,1.0,0.0,0,0.48202020202020207
10,865,0,0.35185185185185186,0.6481481481481481,0,0.7777777777777778,0.2222222222222222,0,0.9997968346843826,0.00020316531561731781,0,0.5,2.0,0,0.0,1.0,1,0.47411470713719756
1016,183,0,0.640625,2.782608695652174,0,0.5454545454545454,0.45454545454545453,0,,,0,0.0,1.0,1,0.5,0.5,0,0.4627840909090909
156,281,0,0.46153846153846156,1.8571428571428572,0,0.7777777777777778,0.2222222222222222,0,,,0,0.0,1.0,1,0.5,0.5,0,0.45213675213675214
433,80,0,0.5733333333333334,0.4266666666666667,0,0.6923076923076923,0.3076923076923077,0,,,0,1.0,0.0,0,0.5,0.5,0,0.24687179487179484
156,374,0,0.6923076923076923,3.25,0,0.3333333333333333,0.6666666666666666,0,,,0,0.0,1.0,1,0.5,0.5,0,0.4948717948717949
856,694,1,0.02631578947368421,0.9736842105263158,0,0.6363636363636364,0.36363636363636365,0,0.9997787757449726,0.00022122425502732118,0,0.0,1.0,1,0.0,1.0,1,0.6675083596835414
314,36,0,0.8656716417910447,7.444444444444445,0,0.5,0.5,0,,,0,1.0,0.0,0,1.0,0.0,0,0.12686567164179105
862,841,1,0.0,1.0,1,0.6363636363636364,0.36363636363636365,0,0.9999787744359306,2.1225564069365145e-05,0,0.0,1.0,1,0.0,1.0,1,0.6727315178400867
713,802,0,0.225,1.2903225806451613,0,0.75,0.25,0,,,0,0.0,1.0,1,0.0,1.0,1,0.605
584,166,1,0.046875,1.0491803278688525,0,0.0,1.0,1,,,0,0.0,1.0,1,0.5,0.5,0,0.690625
974,804,0,0.4523809523809524,0.5476190476190477,0,0.4444444444444444,0.5555555555555556,0,,,0,0.0,1.0,1,1.0,0.0,0,0.42063492063492064
336,237,0,0.8461538461538461,6.5,0,0.75,4.0,0,,,0,0.0,1.0,1,1.0,0.0,0,0.28076923076923077
125,997,1,0.08695652173913043,0.9130434782608695,0,0.75,0.25,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6326086956521739
397,702,1,0.0,1.0,1,0.9,0.1,0,,,0,0.0,1.0,1,0.0,1.0,1,0.62
